GENE_ID,SYMBOL,ANNOTATION_ID
FBgn0000003,7SLRNA:CR32864,CR32864
FBgn0000008,a,CG6741
FBgn0000014,abd-A,CG10325
FBgn0000015,Abd-B,CG11648
FBgn0000017,Abl,CG4032
FBgn0000018,abo,CG6093
FBgn0000022,ac,CG3796
FBgn0000024,Ace,CG17907
FBgn0000028,acj6,CG9151
FBgn0000032,Acph-1,CG7899
FBgn0000036,nAChRalpha1,CG5610
FBgn0000037,mAChR-A,CG4356
FBgn0000038,nAChRbeta1,CG11348
FBgn0000039,nAChRalpha2,CG6844
FBgn0000042,Act5C,CG4027
FBgn0000043,Act42A,CG12051
FBgn0000044,Act57B,CG10067
FBgn0000045,Act79B,CG7478
FBgn0000046,Act87E,CG18290
FBgn0000047,Act88F,CG5178
FBgn0000052,Pfas,CG9127
FBgn0000053,Gart,CG31628
FBgn0000055,Adh,CG3481
FBgn0000056,Adhr,CG3484
FBgn0000057,adp,CG5124
FBgn0000061,al,CG3935
FBgn0000063,Mps1,CG7643
FBgn0000064,Ald1,CG6058
FBgn0000071,Ama,CG2198
FBgn0000075,amd,CG10501
FBgn0000077,amx,CG12127
FBgn0000078,Amy-d,CG17876
FBgn0000079,Amy-p,CG18730
FBgn0000083,AnxB9,CG5730
FBgn0000084,AnxB10,CG9579
FBgn0000092,dyw,CG2650
FBgn0000094,Anp,CG1361
FBgn0000097,aop,CG3166
FBgn0000100,RpLP0,CG7490
FBgn0000108,Appl,CG7727
FBgn0000109,Aprt,CG18315
FBgn0000114,bru1,CG31762
FBgn0000115,Arl1,CG6025
FBgn0000116,Argk1,CG32031
FBgn0000117,arm,CG11579
FBgn0000119,arr,CG5912
FBgn0000120,Arr1,CG5711
FBgn0000121,Arr2,CG5962
FBgn0000137,ase,CG3258
FBgn0000139,ash2,CG6677
FBgn0000140,asp,CG6875
FBgn0000146,aub,CG6137
FBgn0000147,aurA,CG3068
FBgn0000150,awd,CG2210
FBgn0000152,Axs,CG9703
FBgn0000153,b,CG7811
FBgn0000157,Dll,CG3629
FBgn0000158,bam,CG10422
FBgn0000163,baz,CG5055
FBgn0000166,bcd,CG1034
FBgn0000173,ben,CG18319
FBgn0000179,bi,CG3578
FBgn0000180,bib,CG4722
FBgn0000181,bic,CG3644
FBgn0000182,BicC,CG4824
FBgn0000183,BicD,CG6605
FBgn0000206,boss,CG8285
FBgn0000212,brm,CG5942
FBgn0000216,Brd,CG3096
FBgn0000221,brn,CG4934
FBgn0000227,Elba1,CG12205
FBgn0000228,Bsg25D,CG14025
FBgn0000229,bsk,CG5680
FBgn0000233,btd,CG12653
FBgn0000239,bur,CG9242
FBgn0000241,bw,CG17632
FBgn0000244,by,CG9379
FBgn0000246,c(3)G,CG17604
FBgn0000247,ca,CG31037
FBgn0000250,cact,CG5848
FBgn0000251,cad,CG1759
FBgn0000253,Cam,CG8472
FBgn0000256,capu,CG3399
FBgn0000257,car,CG12230
FBgn0000259,CkIIbeta,CG15224
FBgn0000261,Cat,CG6871
FBgn0000273,Pka-C1,CG4379
FBgn0000274,Pka-C2,CG12066
FBgn0000276,CecA1,CG1365
FBgn0000277,CecA2,CG1367
FBgn0000278,CecB,CG1878
FBgn0000279,CecC,CG1373
FBgn0000280,Cec-Psi1,CR32926
FBgn0000281,Cec2,CR32934
FBgn0000283,Cp190,CG6384
FBgn0000286,Cf2,CG11924
FBgn0000287,salr,CG4881
FBgn0000289,cg,CG8367
FBgn0000299,Col4a1,CG4145
FBgn0000303,ChAT,CG12345
FBgn0000307,chif,CG5813
FBgn0000308,chic,CG9553
FBgn0000316,cin,CG2945
FBgn0000317,ck,CG7595
FBgn0000318,cl,CG11024
FBgn0000319,Chc,CG9012
FBgn0000320,eya,CG9554
FBgn0000326,clt,CG9858
FBgn0000330,cm,CG3035
FBgn0000337,cn,CG1555
FBgn0000339,cni,CG5855
FBgn0000346,comt,CG1618
FBgn0000351,cort,CG11330
FBgn0000352,cos,CG1708
FBgn0000355,Cp15,CG6519
FBgn0000356,Cp16,CG6533
FBgn0000357,Cp18,CG6517
FBgn0000358,Cp19,CG6524
FBgn0000359,Cp36,CG1478
FBgn0000360,Cp38,CG11213
FBgn0000370,crc,CG8669
FBgn0000376,crm,CG2714
FBgn0000377,crn,CG3193
FBgn0000382,csw,CG3954
FBgn0000384,cta,CG17678
FBgn0000392,cup,CG11181
FBgn0000394,cv,CG12410
FBgn0000395,cv-2,CG15671
FBgn0000404,CycA,CG5940
FBgn0000405,CycB,CG3510
FBgn0000406,Cyt-b5-r,CG13279
FBgn0000411,D,CG5893
FBgn0000412,D1,CG9745
FBgn0000414,Dab,CG9695
FBgn0000416,Sap-r,CG12070
FBgn0000422,Ddc,CG10697
FBgn0000426,SmF,CG16792
FBgn0000427,dec,CG2175
FBgn0000439,Dfd,CG2189
FBgn0000442,Pkg21D,CG3324
FBgn0000447,Dhod,CG9741
FBgn0000448,Hr3,CG33183
FBgn0000449,dib,CG12028
FBgn0000451,ect,CG6611
FBgn0000454,Dip-B,CG9285
FBgn0000455,Dip-C,CG5663
FBgn0000459,disco,CG9908
FBgn0000463,Dl,CG3619
FBgn0000464,Lar,CG10443
FBgn0000473,Cyp6a2,CG9438
FBgn0000477,DNaseII,CG7780
FBgn0000479,dnc,CG32498
FBgn0000482,dor,CG3093
FBgn0000489,Pka-C3,CG6117
FBgn0000490,dpp,CG9885
FBgn0000492,Dr,CG1897
FBgn0000499,dsh,CG18361
FBgn0000500,Dsk,CG18090
FBgn0000504,dsx,CG11094
FBgn0000520,dwg,CG2711
FBgn0000524,dx,CG3929
FBgn0000527,e,CG3331
FBgn0000529,bsh,CG10604
FBgn0000533,ea,CG4920
FBgn0000535,eag,CG10952
FBgn0000536,eas,CG3525
FBgn0000541,E(bx),CG32346
FBgn0000542,ec,CG2904
FBgn0000543,ecd,CG5714
FBgn0000546,EcR,CG1765
FBgn0000547,ed,CG12676
FBgn0000551,Edg78E,CG7673
FBgn0000552,Edg84A,CG2345
FBgn0000557,eEF1alpha2,CG1873
FBgn0000559,eEF2,CG2238
FBgn0000560,eg,CG7383
FBgn0000562,egl,CG4051
FBgn0000564,Eh,CG5400
FBgn0000565,MsrA,CG7266
FBgn0000566,Eip55E,CG5345
FBgn0000567,Eip74EF,CG32180
FBgn0000568,Eip75B,CG8127
FBgn0000575,emc,CG1007
FBgn0000576,ems,CG2988
FBgn0000577,en,CG9015
FBgn0000578,ena,CG15112
FBgn0000579,Eno,CG17654
FBgn0000581,E(Pc),CG7776
FBgn0000588,esc,CG14941
FBgn0000591,E(spl)m8-HLH,CG8365
FBgn0000592,Est-6,CG6917
FBgn0000594,Est-P,CG17148
FBgn0000606,eve,CG2328
FBgn0000611,exd,CG8933
FBgn0000615,exu,CG8994
FBgn0000617,Taf9,CG6474
FBgn0000618,e(y)2,CG15191
FBgn0000625,eyg,CG10488
FBgn0000629,E(z),CG6502
FBgn0000633,tei,CG17716
FBgn0000635,Fas2,CG3665
FBgn0000636,Fas3,CG5803
FBgn0000639,Fbp1,CG17285
FBgn0000640,Fbp2,CG3763
FBgn0000644,Fcp3C,CG4015
FBgn0000658,fj,CG10917
FBgn0000659,fkh,CG10002
FBgn0000662,fl(2)d,CG6315
FBgn0000667,Actn,CG4376
FBgn0000709,fliI,CG1484
FBgn0000711,flw,CG2096
FBgn0000715,FMRFa,CG2346
FBgn0000719,fog,CG9559
FBgn0000721,for,CG10033
FBgn0000723,FER,CG8874
FBgn0000808,gd,CG1505
FBgn0000810,fs(1)K10,CG3218
FBgn0000826,png,CG11420
FBgn0000927,fs(1)Ya,CG2707
FBgn0000928,fs(1)Yb,CG2706
FBgn0000964,tj,CG10034
FBgn0000996,dup,CG8171
FBgn0001075,ft,CG3352
FBgn0001077,ftz,CG2047
FBgn0001078,ftz-f1,CG4059
FBgn0001079,fu,CG6551
FBgn0001083,fw,CG1500
FBgn0001084,fy,CG13396
FBgn0001085,fz,CG17697
FBgn0001086,fzy,CG4274
FBgn0001087,g,CG10986
FBgn0001089,Gal,CG9092
FBgn0001090,bnb,CG7088
FBgn0001091,Gapdh1,CG12055
FBgn0001092,Gapdh2,CG8893
FBgn0001098,Gdh,CG5320
FBgn0001099,gdl,CG33756
FBgn0001104,Galphai,CG10060
FBgn0001105,Gbeta13F,CG10545
FBgn0001108,DCTN1-p150,CG9206
FBgn0001112,Gld,CG1152
FBgn0001114,Glt,CG9280
FBgn0001120,gnu,CG5272
FBgn0001122,Galphao,CG2204
FBgn0001123,Galphas,CG2835
FBgn0001124,Got1,CG8430
FBgn0001125,Got2,CG4233
FBgn0001128,Gpdh1,CG9042
FBgn0001133,grau,CG33133
FBgn0001134,Grd,CG7446
FBgn0001137,grk,CG17610
FBgn0001138,grn,CG9656
FBgn0001139,gro,CG8384
