# Program:featureCounts v2.0.3; Command:"$SEQ_HOME/tools/subread-2.0.3-macOS-x86_64/bin/featureCounts" "-a" "$SEQ_HOME/annotations/dmel-all-r6.44.gtf" "-o" "$SEQ_HOME/downstream_practice/results/batch/read_counts/readcount.txt" "$SEQ_HOME/downstream_practice/results/batch/read01/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read02/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read03/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read04/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read05/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read06/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read07/STAR_align/Aligned.sortedByCoord.out.bam" "$SEQ_HOME/downstream_practice/results/batch/read08/STAR_align/Aligned.sortedByCoord.out.bam" "-T" "4" 
Geneid	$SEQ_HOME/downstream_practice/results/batch/read01/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read02/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read03/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read04/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read05/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read06/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read07/STAR_align/Aligned.sortedByCoord.out.bam	$SEQ_HOME/downstream_practice/results/batch/read08/STAR_align/Aligned.sortedByCoord.out.bam
FBgn0031081	2	2	4	3	2	2	3	6
FBgn0052826	0	0	0	0	0	0	0	0
FBgn0031085	0	0	0	0	0	0	0	0
FBgn0062565	0	0	0	0	0	0	0	0
FBgn0031088	0	0	0	0	0	0	0	0
FBgn0041626	0	0	0	0	0	0	0	0
FBgn0040784	0	0	0	0	0	0	0	0
FBgn0031086	0	0	0	0	0	0	0	0
FBgn0031082	0	0	0	0	0	0	0	0
FBgn0031080	0	0	0	0	0	0	0	0
FBgn0052821	0	0	0	0	0	0	0	0
FBgn0053217	1	1	0	0	0	0	0	0
FBgn0052350	1	0	0	0	2	0	2	0
FBgn0024733	429	428	443	461	448	403	459	458
FBgn0040372	2	4	4	4	3	4	3	3
FBgn0000316	0	0	1	1	0	1	1	0
FBgn0024989	0	0	0	0	0	0	0	0
FBgn0040371	0	0	0	0	0	0	0	0
FBgn0029521	0	0	0	0	0	0	0	0
FBgn0004034	0	0	0	0	0	0	0	0
FBgn0000022	0	0	0	0	0	0	0	0
FBgn0004170	0	0	0	0	0	0	0	0
FBgn0002561	0	0	0	0	0	0	0	0
FBgn0000137	0	0	0	0	0	0	0	0
FBgn0029522	0	0	0	0	0	0	0	0
FBgn0052817	0	0	0	0	0	0	0	0
FBgn0029524	1	0	0	0	0	0	1	0
FBgn0023536	4	1	1	2	2	2	4	0
FBgn0023534	0	3	1	1	1	0	0	2
FBgn0023535	0	0	0	0	0	0	0	0
FBgn0023537	27	25	35	26	30	33	44	36
FBgn0029525	6	3	2	1	3	1	5	4
FBgn0029523	0	0	0	0	0	0	0	0
FBgn0010019	0	0	0	0	0	0	0	0
FBgn0011822	20	22	19	24	28	22	18	25
FBgn0052816	0	0	0	0	1	0	0	0
FBgn0040370	0	0	0	0	0	1	0	0
FBgn0040373	0	0	0	0	0	0	0	0
FBgn0000108	1	2	0	1	0	2	1	1
FBgn0025640	2	3	1	7	6	3	5	2
FBgn0025635	1	1	1	0	3	2	1	0
FBgn0001341	1	0	0	0	0	1	1	0
FBgn0003575	2	2	2	3	1	2	2	1
FBgn0025634	0	1	2	1	1	2	1	0
FBgn0025638	28	28	31	44	24	31	23	36
FBgn0040383	25	30	31	29	34	32	38	45
FBgn0040382	2	1	0	2	2	0	1	1
FBgn0027343	1	1	1	3	1	0	2	0
FBgn0025621	3	3	2	1	1	1	0	2
FBgn0029535	0	0	0	0	0	0	0	0
FBgn0026874	0	0	0	0	0	0	0	0
FBgn0025616	0	0	0	0	0	0	0	0
FBgn0015799	0	0	1	2	0	2	0	3
FBgn0025620	2	1	1	0	1	0	1	2
FBgn0015288	7	10	12	11	9	11	10	8
FBgn0029532	0	0	0	0	0	0	0	0
FBgn0029531	0	0	0	0	0	0	1	0
FBgn0025639	3	2	1	0	1	0	7	2
FBgn0002579	368	361	378	386	365	391	392	342
FBgn0026879	23	19	15	15	11	14	17	17
FBgn0029529	5	7	7	11	3	5	4	7
FBgn0025633	1	4	6	5	5	5	3	4
FBgn0040892	0	0	0	0	0	0	0	0
FBgn0040341	0	0	0	0	0	0	0	0
FBgn0029539	0	0	0	0	0	0	0	0
FBgn0040339	2	0	1	0	1	0	0	0
FBgn0052815	0	0	0	0	0	3	1	2
FBgn0040340	1	4	3	0	1	3	2	4
FBgn0040347	0	0	1	0	0	0	0	0
FBgn0042146	0	0	0	0	0	0	0	0
FBgn0029552	0	0	0	0	0	0	0	0
FBgn0040337	0	2	3	1	3	1	2	0
FBgn0040398	11	21	22	14	16	15	18	18
FBgn0040365	0	0	0	0	0	0	0	0
FBgn0040397	12	16	9	6	8	6	12	10
FBgn0026143	0	1	1	0	0	0	0	0
FBgn0040351	0	0	0	0	0	0	0	0
FBgn0040338	0	0	0	0	0	0	0	0
FBgn0040350	0	0	0	0	0	0	0	1
FBgn0040349	30	33	39	33	21	23	19	30
FBgn0040348	0	0	0	0	0	0	0	0
FBgn0040346	0	0	1	1	0	0	0	0
FBgn0040342	36	31	41	46	34	38	41	37
FBgn0040345	0	0	0	0	0	1	0	0
FBgn0040343	0	0	0	0	0	0	0	0
FBgn0052814	0	0	0	0	0	0	0	0
FBgn0040364	132	130	119	106	120	122	109	139
FBgn0040362	0	0	0	0	0	0	0	0
FBgn0040361	0	0	0	0	0	0	0	0
FBgn0040360	0	0	0	0	0	0	0	0
FBgn0040359	0	0	0	0	0	0	0	0
FBgn0040358	0	0	0	0	0	0	0	0
FBgn0029568	0	0	0	0	0	0	0	0
FBgn0040357	0	0	0	0	0	0	0	0
FBgn0040367	0	0	0	0	0	0	0	0
FBgn0025642	0	0	0	0	0	0	0	0
FBgn0004650	0	0	0	0	0	0	0	0
FBgn0024362	5	5	6	12	11	8	8	8
FBgn0024361	80	84	72	60	66	66	64	54
FBgn0024364	3	1	3	3	2	2	3	4
FBgn0029573	0	1	0	0	0	0	0	0
FBgn0024987	1	2	1	2	1	1	0	2
FBgn0023169	30	19	23	17	14	16	15	21
FBgn0052813	7	5	3	6	3	4	4	4
FBgn0024985	2	4	1	4	2	2	1	3
FBgn0027794	2	2	3	2	1	4	5	2
FBgn0027795	0	0	0	0	0	0	0	0
FBgn0024986	19	26	18	29	22	19	21	17
FBgn0000826	0	0	0	1	0	0	0	0
FBgn0024365	13	14	16	14	13	17	16	7
FBgn0024360	1	6	4	7	4	4	7	1
FBgn0024366	0	1	1	0	0	1	0	0
FBgn0025641	0	0	0	1	0	0	0	0
FBgn0052811	0	0	0	0	0	0	0	0
FBgn0028550	7	7	4	5	5	7	13	8
FBgn0026876	0	0	1	0	1	0	0	1
FBgn0040366	0	0	1	1	1	0	0	0
FBgn0040363	2	0	0	2	4	2	1	2
FBgn0040368	0	0	0	0	0	0	0	0
FBgn0026872	5	4	4	9	8	7	2	4
FBgn0029580	0	0	0	1	0	0	0	0
FBgn0025383	3	4	2	0	2	2	4	3
FBgn0025381	2	0	0	0	0	1	1	0
FBgn0025394	3	2	2	2	2	0	5	4
FBgn0000482	1	0	0	0	4	0	0	1
FBgn0001189	7	9	5	10	8	8	9	5
FBgn0029587	0	0	0	0	0	0	0	0
FBgn0024897	0	0	0	0	0	0	0	0
FBgn0025391	0	0	0	0	0	0	0	0
FBgn0025378	0	0	0	0	0	0	0	0
FBgn0023130	0	0	1	0	0	0	0	0
FBgn0023530	0	0	0	0	1	0	0	0
FBgn0025390	3	0	0	0	0	0	1	0
FBgn0025393	0	0	0	0	0	0	0	0
FBgn0003517	403	406	400	406	393	366	395	375
FBgn0044508	0	0	0	0	0	0	0	0
FBgn0025382	0	0	0	0	0	0	0	0
FBgn0052808	0	1	0	0	0	0	0	0
FBgn0027791	3	2	2	1	3	0	1	0
FBgn0027793	0	0	0	0	0	0	0	0
FBgn0052806	0	0	0	0	0	0	0	0
FBgn0026873	1	4	1	2	0	0	3	4
FBgn0023513	0	0	0	0	1	0	0	0
FBgn0014411	2	0	2	0	3	5	2	1
FBgn0023514	2	1	0	1	2	1	1	1
FBgn0029594	2	10	3	5	4	1	5	1
FBgn0023519	3	5	0	2	2	1	1	1
FBgn0023509	1	1	0	0	1	0	0	0
FBgn0023510	8	4	7	7	11	8	9	6
FBgn0023508	1	3	2	1	1	4	1	2
FBgn0023522	0	1	1	1	0	1	0	2
FBgn0023521	1	3	1	4	1	5	1	1
FBgn0025627	0	0	0	0	0	0	0	0
FBgn0025630	0	0	0	1	0	0	0	0
FBgn0025629	2	0	0	0	0	1	0	1
FBgn0025628	20	19	19	29	24	20	27	22
FBgn0029596	0	0	0	0	0	0	0	0
FBgn0025626	1	1	0	1	1	1	1	0
FBgn0025625	0	0	0	0	0	0	0	0
FBgn0025631	2	0	1	1	0	0	1	3
FBgn0026878	0	0	0	0	0	0	0	0
FBgn0000667	6	3	3	1	5	0	5	5
FBgn0003964	2	3	0	1	2	0	1	4
FBgn0023545	2	1	3	7	1	2	0	3
FBgn0023520	0	0	0	1	1	0	2	1
FBgn0023512	0	0	1	1	1	1	0	2
FBgn0023511	1	3	0	2	0	2	1	3
FBgn0052801	0	0	0	0	0	0	0	0
FBgn0023518	2	0	0	0	0	0	0	0
FBgn0026088	18	21	28	37	24	31	26	30
FBgn0026089	5	9	9	2	10	11	9	13
FBgn0023517	2	0	4	2	5	0	2	1
FBgn0023516	7	8	5	7	9	14	10	6
FBgn0023515	0	0	0	0	0	0	0	0
FBgn0028969	23	18	19	26	15	21	21	15
FBgn0026090	1	2	1	0	4	3	3	2
FBgn0029590	0	0	0	0	0	0	0	0
FBgn0025624	0	1	1	1	1	4	4	1
FBgn0040395	4	4	2	0	1	0	3	0
FBgn0000382	2	3	3	7	1	7	6	2
FBgn0023507	42	52	28	37	37	34	24	32
FBgn0004654	4	11	8	7	12	10	11	9
FBgn0023540	0	0	0	0	0	0	1	1
FBgn0025839	42	57	50	45	46	47	46	57
FBgn0011576	0	0	1	0	0	0	0	0
FBgn0015036	6	8	4	5	2	7	2	7
FBgn0003116	0	0	0	0	3	1	0	2
FBgn0040899	1	3	4	5	6	2	3	5
FBgn0040900	0	0	0	0	0	0	0	0
FBgn0024984	0	0	0	0	0	0	0	0
FBgn0023549	17	20	23	18	9	20	21	16
FBgn0029606	0	0	0	0	0	1	0	0
FBgn0003048	1	0	1	2	3	0	1	0
FBgn0000810	0	0	0	1	1	0	0	1
FBgn0023523	0	0	0	0	0	0	0	0
FBgn0023527	1	0	1	1	1	2	0	1
FBgn0040391	0	0	0	0	0	0	0	0
FBgn0053218	1	0	0	0	0	0	0	0
FBgn0003079	0	0	3	1	1	1	1	0
FBgn0003159	8	8	7	4	2	2	6	5
FBgn0040389	0	0	6	0	0	2	2	1
FBgn0044047	0	0	0	0	0	0	0	2
FBgn0040392	0	0	0	0	0	0	0	0
FBgn0023526	8	6	6	12	9	10	7	13
FBgn0023529	38	31	19	25	39	29	16	21
FBgn0023528	7	6	8	7	13	5	12	14
FBgn0027296	0	0	0	0	1	2	1	0
FBgn0023524	0	0	0	0	1	0	0	0
FBgn0023525	1	4	4	2	2	1	5	0
FBgn0000377	2	2	4	1	2	0	2	0
FBgn0001330	0	1	0	0	0	0	0	0
FBgn0004397	3	4	4	8	2	7	5	4
FBgn0023550	0	0	0	0	0	0	0	0
FBgn0029603	0	0	0	0	0	1	0	1
FBgn0023542	3	2	0	1	0	2	0	1
FBgn0023541	0	0	0	0	0	0	0	0
FBgn0005670	36	36	39	39	39	38	36	31
FBgn0004655	1	0	4	2	3	6	2	4
FBgn0013432	0	0	0	0	0	0	0	0
FBgn0004861	2	0	1	0	0	0	1	0
FBgn0004860	0	0	0	0	0	0	1	3
FBgn0040394	3	3	4	2	0	0	4	0
FBgn0040376	0	0	0	0	0	0	0	0
FBgn0040066	7	2	3	5	2	2	3	2
FBgn0001404	35	36	42	24	23	28	18	36
FBgn0040336	2	3	4	8	3	3	1	3
FBgn0040333	0	0	0	0	0	0	0	0
FBgn0040334	0	0	0	0	1	0	1	1
FBgn0029629	14	14	9	15	15	14	11	20
FBgn0011566	0	0	1	0	0	0	0	0
FBgn0011606	0	1	0	1	0	0	1	0
