GENE_ID	SYMBOL	ANNOTATION_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0003358	Jon99Ci	CG31039	1071.54168890423	-1.99364002780978	0.0499021722966418	-39.9509667827414	0	0
FBgn0003517	sta	CG14792	979.619838311516	-2.07193468156093	0.0488263410042498	-42.4347726851085	0	0
FBgn0013675	mt:CoII	CG34069	3116.77874885676	-0.996791747266047	0.0264137775642076	-37.7375687685342	0	0
FBgn0013676	mt:CoIII	CG34074	3235.63942705743	-0.994586923822838	0.026383080506005	-37.697907323463	0	0
FBgn0013686	mt:lrRNA	CR34094	36371.6737957414	-0.939548194829902	0.0155509509421194	-60.4174110205155	0	0
FBgn0039757	RpS7	CG1883	1504.1600863797	-2.04665379107204	0.0446617484895704	-45.8256530540891	0	0
FBgn0033774	CG12374	CG12374	3037.44373753008	-1.01143104018496	0.0270373777474696	-37.4086218579247	2.82960725484343e-306	3.10832356944551e-303
FBgn0031653	Jon25Biii	CG8871	2861.5420507318	-0.977182473914742	0.0284176246816714	-34.3864937643786	4.01389957013021e-259	3.91934993581158e-256
FBgn0015222	Fer1HCH	CG2216	767.866733730495	-1.9550859586992	0.0576634906413761	-33.9050920600415	5.60458522373328e-252	4.92530949461681e-249
FBgn0285948	RpL27A	CG15442	1133.31231803681	-1.0572473530613	0.0418907165748416	-25.238225542703	1.52528890738383e-140	9.57445637006364e-138
FBgn0002590	RpS5a	CG8922	338.677472447717	-1.96167405488374	0.0872169070094212	-22.4919011937885	4.98187862057633e-112	2.5753381951544e-109
FBgn0010217	ATPsynbeta	CG11154	309.981720716296	-2.01309828168964	0.0901372783085799	-22.3336927791176	1.73943611631041e-110	8.49231366118659e-108
FBgn0033699	RpS11	CG8857	942.322529061438	-0.971674480219269	0.0447421303117482	-21.7172153728257	1.41075089613241e-104	6.52509414484824e-102
FBgn0028533	CG7953	CG7953	818.553600258604	-1.00333842889481	0.0474561001807536	-21.1424542908759	3.23794321621703e-99	1.42275224920576e-96
FBgn0003274	RpLP2	CG4918	1036.35403299642	-0.950171553038345	0.0460500788739215	-20.6334402952876	1.37510471168375e-94	5.49291827558034e-92
FBgn0002579	RpL36	CG7622	549.263063769483	-0.995881529172621	0.0589513829900593	-16.8932682943257	5.04303790642937e-64	1.47727390405671e-61
FBgn0040007	RpL38	CG18001	524.246644078331	-1.00713241651516	0.0600001754222196	-16.7854911994505	3.11640143888957e-63	8.83449543385855e-61
FBgn0002626	RpL32	CG7939	498.445374977268	-1.10513868102224	0.0664976038874372	-16.6192256023682	5.05817641601597e-62	1.34700770739237e-59
FBgn0028473	Non1	CG8801	154.374455667341	-2.08634583787314	0.128677399730125	-16.2137705785852	4.03062567471745e-59	1.0417981891005e-56
FBgn0038353	CG5399	CG5399	582.321892927879	-0.990112045968946	0.0622617576142157	-15.9024107880771	6.09724970659447e-57	1.48840640059867e-54
FBgn0036825	RpL26	CG6846	412.984394115094	-1.0474166089023	0.0677691775159041	-15.455648825847	6.91121516559867e-54	1.59830944408634e-51
FBgn0039830	ATPsynC	CG1746	478.101829939591	-0.97762294168895	0.0664061514448475	-14.7218732062932	4.66555398209666e-49	1.02502220986664e-46
FBgn0011272	RpL13	CG4651	326.303532056421	-1.14067233055088	0.0784997956849196	-14.5308955341652	7.72044695740404e-48	1.57784390375969e-45
FBgn0013705	mt:tRNA:Ser-GCT	CR34080	339.687031703896	-1.02293795540755	0.0747174824654084	-13.6907444102006	1.15321708303542e-42	2.20314602732941e-40
FBgn0010412	RpS19a	CG4464	382.906644282723	-0.972335334857644	0.0717833580742259	-13.5454144378732	8.43365658824348e-42	1.54406196036424e-39
FBgn0031980	RpL36A	CG7424	427.155159066431	-0.914251552167662	0.0675490511186337	-13.5346320492644	9.76702683953611e-42	1.75168636460905e-39
FBgn0017579	RpL14	CG6253	326.248434154478	-0.957124240074479	0.0770128369948846	-12.4281129928775	1.8392481501678e-35	2.99320606364346e-33
FBgn0035620	Alp9	CG5150	98.8392354135115	-1.93984374315184	0.160668431567587	-12.0735836170519	1.45650530728093e-33	2.24557344568155e-31
FBgn0052483	CG32483	CG32483	93.100572163231	-2.00268020619786	0.166347890464985	-12.0391079237606	2.21336130533938e-33	3.35362399160732e-31
FBgn0040827	CG13315	CG13315	339.155858775109	-0.916786394748745	0.080256111726637	-11.4232595502688	3.20002509692128e-30	4.68697009195737e-28
FBgn0000116	Argk1	CG32031	247.045028621491	-1.04526653736744	0.0935947953445786	-11.1679985358073	5.84838340595754e-29	8.42550711009096e-27
FBgn0263235	Phae2	CG16997	155.911343220457	-1.16332251010843	0.114501015055045	-10.1599318534354	2.99285562241593e-24	3.98503260754413e-22
FBgn0034588	CG9394	CG9394	71.2520253651439	-1.919501342839	0.192384739029471	-9.97740960391329	1.91398287419134e-23	2.47354139682257e-21
FBgn0035772	Sh3beta	CG8582	51.398935070145	-2.28653435564735	0.229426611402393	-9.96629964445137	2.14055687966145e-23	2.72626287803838e-21
FBgn0038826	Syp	CG17838	73.2509925166208	-1.85264592622421	0.189778332352792	-9.76215726661672	1.63636745994956e-22	2.02540806169531e-20
FBgn0005671	Vha55	CG17369	147.870104725801	-1.10595374327622	0.114758048954749	-9.63726512736644	5.56508533760119e-22	6.60891485768098e-20
FBgn0033777	CG17574	CG17574	63.1405174241841	-1.92368269822404	0.200215597529279	-9.60805612531123	7.39314925193404e-22	8.66279941679952e-20
FBgn0039310	CG11878	CG11878	154.465705984317	-1.05855481155426	0.112892919501999	-9.37662712793531	6.81168900410665e-21	7.8764635484328e-19
FBgn0030521	CtsB	CG10992	212.388862339091	-0.947897698124073	0.103055448274725	-9.19793872127142	3.64881760528315e-20	4.11100116861902e-18
FBgn0263200	Galt	CG9232	52.2299032705464	-1.89346611158757	0.213339534997331	-8.87536438856144	6.97048200927138e-19	7.38031275873215e-17
FBgn0000261	Cat	CG6871	125.762997112829	-1.09970119416635	0.124277838685995	-8.84873124439261	8.85198571830633e-19	9.15191182264424e-17
FBgn0026088	CG14818	CG14818	64.6172965643817	-1.89883863658773	0.215680383398866	-8.80394687112613	1.3208693586404e-18	1.34974417717812e-16
FBgn0030688	CG8952	CG8952	148.387689760892	-1.00389862441723	0.11612029673297	-8.64533292337166	5.36486451306389e-18	5.35754878872789e-16
FBgn0033792	CG13325	CG13325	32.9733505291215	-2.46776189825506	0.303790129053388	-8.12324582745536	4.53878695611685e-16	4.33552823590814e-14
FBgn0039528	dsd	CG5634	125.932858330634	-1.07003800709532	0.132214679579407	-8.09318610081168	5.81239561380953e-16	5.49240136066216e-14
FBgn0001941	ifc	CG9078	120.543243467298	-1.06910095737641	0.133275585865723	-8.02173144039712	1.04264904950059e-15	9.74765941171401e-14
FBgn0028853	CG15263	CG15263	39.5025048147156	-2.1801862468324	0.272203195550384	-8.00940724602497	1.1526263174994e-15	1.06624000822997e-13
FBgn0034576	ND-B14.7	CG9350	102.955989808476	-1.12424674044574	0.141808511412771	-7.92792145722004	2.22844170487357e-15	2.0189222373638e-13
FBgn0011556	zetaTry	CG12387	143.062874497178	-0.908374541183087	0.114729257844651	-7.91754917837146	2.42237828773094e-15	2.15028892854338e-13
FBgn0052672	Atg8a	CG32672	92.1387344509476	-1.18133520869122	0.151211302879291	-7.81247953160125	5.60737525002821e-15	4.92776136972479e-13
FBgn0038984	AdipoR	CG5315	36.193172713095	-1.99341316114025	0.265402586527044	-7.51090329308876	5.87207603217829e-14	4.91464801626503e-12
FBgn0013770	Cp1	CG6692	106.907490388419	-1.01822905502024	0.136621185761509	-7.45293674143408	9.12850598053676e-14	7.56804816575067e-12
FBgn0266599	Hsc70-4	CG4264	89.3434776697449	-1.12636557120167	0.155336087353044	-7.25115194025517	4.13241785309006e-13	3.27168361197797e-11
FBgn0015834	eIF3i	CG8882	36.89457220806	-1.85237973258647	0.257852270350611	-7.18387986294525	6.77604119631847e-13	5.31677232439703e-11
FBgn0037387	CG1213	CG1213	110.69621134009	-0.926284993125013	0.130681270383696	-7.08812357276088	1.359425622166e-12	1.05722410332697e-10
FBgn0026375	RhoGAPp190	CG32555	27.0983308174352	-2.30746163861005	0.328472477298236	-7.02482490341192	2.14334864749351e-12	1.63789112297156e-10
FBgn0016756	Usp47	CG5486	27.0978156137143	-2.12717539198408	0.308440550052376	-6.89654908092617	5.32809625456862e-12	4.00199229787599e-10
FBgn0028950	CG15255	CG15255	78.6305308275044	-1.12266861132196	0.163299138158858	-6.87492061488912	6.20243891143497e-12	4.58042295409164e-10
FBgn0037874	Tctp	CG4800	124.215096825323	-0.849957445014351	0.125580403139484	-6.76823313005528	1.30364578603347e-11	9.46813154352245e-10
FBgn0038740	CG4562	CG4562	99.7536175084317	-0.961034698522617	0.142464955472043	-6.7457621092733	1.52225858562603e-11	1.09652528282636e-09
FBgn0024804	Dbp80	CG17023	25.6339340048293	-2.02788270799779	0.303186138023581	-6.68857330093392	2.25356761807722e-11	1.61010993720834e-09
FBgn0013746	alien	CG9556	19.3509899006861	-2.62006986027063	0.396106692251712	-6.61455590506827	3.72668804278213e-11	2.64113988064269e-09
FBgn0032075	Tsp29Fb	CG9496	70.5460072565368	-1.06864759892592	0.166784177488451	-6.40736798309249	1.48053185830891e-10	9.93199539757153e-09
FBgn0034394	CG15096	CG15096	58.0367796687794	-1.17044161207795	0.182639412437051	-6.40848323185097	1.4697444037954e-10	9.93199539757153e-09
FBgn0034292	CG5767	CG5767	66.848608819879	-1.07305678702429	0.169593534557829	-6.32722697726657	2.49606069033673e-10	1.60112272603498e-08
FBgn0030484	GstT4	CG1681	83.4798413388164	-0.980454249579785	0.155951095394103	-6.28693403596868	3.23796874356248e-10	2.06197603756718e-08
FBgn0053346	CG33346	CG33346	115.255030531466	-0.803340830110946	0.128020518109202	-6.27509435187328	3.49422333424421e-10	2.19337390438129e-08
FBgn0030529	Clic	CG10997	55.9307179022731	-1.19738189150266	0.190895284266905	-6.27245401111382	3.55401447273193e-10	2.21508363023888e-08
FBgn0026076	UBL3	CG9038	14.9493433763264	-2.94057892699563	0.470209422268942	-6.25376436058257	4.00675422042267e-10	2.46927632873843e-08
FBgn0033297	Mal-A8	CG8690	46.7335983024256	-1.27534918198208	0.205482377687434	-6.20661098209624	5.41393919246874e-10	3.25874641256269e-08
FBgn0031294	IA-2	CG31795	58.1620611265552	-1.1322836358095	0.183708007072761	-6.1634963758604	7.11560079650212e-10	4.25387073467079e-08
FBgn0085227	CG34198	CG34198	106.553708292143	-2.08704583141913	0.340714934468928	-6.12548972845058	9.04051036295486e-10	5.36810845065184e-08
FBgn0267975	vib	CG5269	63.0532603057214	-1.08676560591793	0.178414414008402	-6.09124331101831	1.12037117148499e-09	6.60793413087925e-08
FBgn0025454	Cyp6g1	CG8453	85.301895299378	-1.79524821791113	0.295797873738054	-6.06917215199769	1.28571268909185e-09	7.53256207449277e-08
FBgn0028968	gammaCOP	CG1528	24.1446988843207	-1.92052263306266	0.317123751786094	-6.05606682642328	1.39490072402496e-09	8.11813745876249e-08
FBgn0267385	PyK	CG7070	50.0715132509172	-1.22227677666641	0.203748489509881	-5.99894889825496	1.98598839100192e-09	1.12599135355644e-07
FBgn0259173	corn	CG42278	19.5118633226539	-2.28357891625986	0.384556857239935	-5.93820880649406	2.8815289868029e-09	1.61292208509706e-07
FBgn0261403	sxc	CG10392	17.8985769827217	-2.19915165946092	0.37083589511399	-5.93025564255296	3.02463396006283e-09	1.68230906588811e-07
FBgn0263598	Vha68-2	CG3762	81.1072195678187	-0.870107873655421	0.150195336771306	-5.79317502367123	6.90680622449306e-09	3.79356331880281e-07
FBgn0286778	CG46385	CG46385	61.2612601407772	-1.06343778173284	0.186092735672769	-5.71455827057548	1.09989355788816e-08	5.96658307822292e-07
FBgn0266410	CG45050	CG45050	84.5210649380923	-0.886812895514482	0.156009544241658	-5.68435027372949	1.31310903938471e-08	6.95156761332101e-07
FBgn0028945	CG7631	CG7631	57.4607229911301	-1.13431826183174	0.199636357371692	-5.68192225487172	1.33189206970908e-08	7.00878293928346e-07
FBgn0086357	Sec61alpha	CG9539	55.4705882136928	-1.06044366171933	0.191275346433842	-5.5440687024771	2.95522794022673e-08	1.49255995050072e-06
FBgn0052473	CG32473	CG32473	72.4257414352379	-0.93528182947145	0.169005705153989	-5.53402518938204	3.12963998366151e-08	1.57161578150956e-06
FBgn0027291	Idh3a	CG12233	56.8174915091928	-1.03982699466493	0.188464218968424	-5.51737088534109	3.44108722720702e-08	1.71534717975066e-06
FBgn0013689	mt:tRNA:Ala-TGC	CR34077	41.4762825885446	-1.20346029410949	0.219525810663576	-5.48209019464139	4.20329828441053e-08	2.04080581897236e-06
FBgn0036820	Grx1	CG6852	50.3168985710182	-1.06784864894712	0.195042121518241	-5.4749642827652	4.37599865414367e-08	2.11298220728652e-06
FBgn0265784	CrebB	CG6103	16.8217578464313	-2.15740058650265	0.399023281147631	-5.40670353944699	6.41952676324431e-08	3.06602180409734e-06
FBgn0037648	CG11975	CG11975	11.4073634862247	-3.21658731259321	0.597411445892639	-5.38420770928997	7.27644398191569e-08	3.45650755205811e-06
FBgn0261244	inaE	CG33174	15.8146315431964	-2.3549730372473	0.438579410599445	-5.36954763569169	7.89343858641653e-08	3.70949402660045e-06
FBgn0040324	Ephrin	CG1862	13.35465336754	-2.42841308333179	0.452671382898874	-5.36462691275162	8.11167086601853e-08	3.79177465800909e-06
FBgn0035871	BI-1	CG7188	22.4608936257769	-1.69632269078665	0.32207099204884	-5.26692168082436	1.38730356755435e-07	6.45059457760194e-06
FBgn0051363	Jupiter	CG31363	20.1211537178474	-1.82363418298619	0.347273925573868	-5.25128450105386	1.5104217369193e-07	6.98609801265622e-06
FBgn0264490	Eip93F	CG18389	67.4945315748494	-0.86857574696496	0.168305485026796	-5.16070968707094	2.46015434807914e-07	1.12603314640206e-05
FBgn0262975	cnc	CG43286	39.6568702413582	-1.21406546201904	0.237050703167438	-5.12154339049355	3.03044986100256e-07	1.37276254528302e-05
FBgn0262527	nsl1	CG4699	21.3429621560413	-1.64513026198338	0.323468475322823	-5.08590600781588	3.65875227537228e-07	1.64887769210111e-05
FBgn0010100	mAcon1	CG9244	73.0645791727871	-0.878758277148345	0.173033542209663	-5.07854295720053	3.80340442208643e-07	1.7053223500661e-05
FBgn0024807	DIP1	CG17686	19.7474234772903	-1.73840230252687	0.342594521134097	-5.07422680541476	3.89074769391475e-07	1.73562897127527e-05
FBgn0005666	bt	CG32019	43.3166406494464	-1.1553878246049	0.229349875845976	-5.0376649228309	4.71245469528379e-07	2.09156827586636e-05
FBgn0029709	CHOp24	CG3564	55.3232129904765	-1.04057485858065	0.206798797360717	-5.03182258243786	4.85838776182574e-07	2.13477558254623e-05
FBgn0032393	Nfs1	CG12264	13.852482039396	-2.12394844313835	0.42634093782379	-4.98180740976882	6.2993113344378e-07	2.72701221709554e-05
FBgn0011016	SsRbeta	CG5474	78.9090417329715	-0.750139038927412	0.151638509755506	-4.94689007519855	7.54085315364597e-07	3.24848125069808e-05
FBgn0000455	Dip-C	CG5663	40.9903336330484	-1.09818613358163	0.22290680600024	-4.9266603980699	8.36469502504843e-07	3.5511565159481e-05
FBgn0034141	CG8311	CG8311	16.0553083381603	-1.93785113274338	0.39361101256401	-4.92326451976045	8.51122797182905e-07	3.59599381809777e-05
FBgn0030745	CG4239	CG4239	10.3005848628975	-2.57795054649196	0.530414947839874	-4.86025244384743	1.17236161196208e-06	4.92952815594392e-05
FBgn0028381	Decay	CG14902	40.3486143837012	-1.08551242477941	0.228043119437689	-4.76011917156753	1.93478683421523e-06	8.02023900900162e-05
FBgn0038183	CG9286	CG9286	10.4221345716524	-2.46199177059346	0.518393333248273	-4.74927359726353	2.04148600062327e-06	8.42280702980154e-05
FBgn0035473	mge	CG14981	16.1925460099591	-1.88642382106486	0.397434968868478	-4.74649683301805	2.0696996371948e-06	8.45977693565949e-05
FBgn0264751	Vti1b	CG44009	8.81596930098495	-2.99225614479854	0.63040005595186	-4.74659879317498	2.06865706806573e-06	8.45977693565949e-05
FBgn0038830	CG17272	CG17272	24.9006459148315	-1.35012556259254	0.28550627776598	-4.72888222688816	2.25759286197469e-06	9.18505836621924e-05
